,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Rhodococcus phage CosmicSans,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Rhodococcus phage REQ2,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Sinorhizobium phage phiLM21,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterococcus phage phiFL4A,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Clostridium phage phiCT453B,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Shigella phage pSf-1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Leuconostoc phage phiLN03,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage Dori,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage Enkosi,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Leuconostoc phage Ln-8,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage BritBrat,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus phage LfeSau,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Enterobacteria phage HK542,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacter phage phiEap-2,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Phinally,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Klebsiella phage phiKO2,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Tsukamurella phage TPA4,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage vB_PaeS_PM105,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Gordonia phage GTE2,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus phage phiPYB5,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus phage LF1,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Stenotrophomonas phage vB_SmaS-DLP,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Gordonia phage GMA4,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Staphylococcus phage ROSA,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Mycobacterium phage Bipper,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Clostridium phage phi8074-B1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas phage PAJU2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Enterococcus phage SANTOR1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Fairly Observed
Enterococcus phage EfaCPT1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed
Enterococcus phage vB_EfaS_IME196,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed
Gordonia phage GordDuk1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed
Pseudomonas phage JBD5,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterococcus phage IME_EF3,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterococcus phage EFAP-1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Gordonia phage SoilAssassin,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage GRU1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Lucky10,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Nyceirae,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage Hawkeye,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Blueberry,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Achromobacter phage phiAxp-2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Leuconostoc phage phiLN12,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Acinetobacter phage IME_AB3,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Gordonia phage Yvonnetastic,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Microbacterium phage Min1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Geobacillus virus E3,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage BaxterFox,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage JBD24,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage YMC11/07/P54_PAE_BP,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage Jolie2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Bacillus phage PM1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pectobacterium phage My1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage Envy,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Bacteroides phage B124-14,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Leuconostoc phage Ln-9,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Bacteroides phage B40-8,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Salmonella phage IME207,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Vibrio phage VpKK5,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Lactobacillus phage Sha1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus phage phig1e,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Listonella phage phiHSIC,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Vibrio phage pYD38-B,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudoalteromonas phage Pq0,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Schwabeltier,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Proteus phage pPM_01,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas phage phi2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Vibrio phage pYD21-A,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage Cambiare,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium phage FlagStaff,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Zirinka,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia phage Kita,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Salmonella phage vB_SosS_Oslo,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Klebsiella virus PKP126,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella virus Sushi,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella virus 1513,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella virus KP36,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Klebsiella virus KLPN1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus ACGM12,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus Rtp,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Cronobacter virus Esp2949-1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed
Enterobacteria phage mEp237,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacterial phage mEp390,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Enterobacteria phage mEp235,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia phage HK639,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Enterobacteria phage HK225,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Enterobacteria phage phi80,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Enterobacteria phage mEpX1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia phage HK75,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus phage SPP1,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Propionibacterium virus ATCC29399BT,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Attacne,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P144,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PA6,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P1.1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PHL113M01,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PHL112N00,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PHL060L00,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus PHL111M01,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus Procrass1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Pacnes201215,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PHL114L00,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P91,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Solid,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P105,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P104A,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus P100D,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus Ouroboros,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Lauchelly,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Kubed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus MrAK,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Wizzo,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus Stormborn,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus P100A,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Fairly Observed,Rarely Observed
Propionibacterium virus SKKY,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Propionibacterium virus PAD20,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus PHL071N05,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus P1001,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus P101A,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus ATCC29399BC,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Propionibacterium virus Pirate,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Fairly Observed,Never Observed
Propionibacterium virus PAS50,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus IPLA5,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Staphylococcus virus PH15,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus IPLA7,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Staphylococcus virus CNPH82,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus 37,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus X2,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Staphylococcus virus 71,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Staphylococcus virus phiETA,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Staphylococcus virus 29,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Staphylococcus phage B236,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Staphylococcus virus Sextaec,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Staphylococcus virus SEP9,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Lactococcus virus c2,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Lactococcus virus bIL67,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus phage M5938,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus phage D4412,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus phage M6165,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus phage D4410,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Streptococcus virus 7201,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Streptococcus virus DT1,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Streptococcus virus phiAbc2,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Streptococcus virus Sfi19,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Streptococcus virus Sfi21,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Streptococcus virus ALQ132,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Streptococcus virus 858,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Streptococcus virus 2972,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Streptococcus virus O1205,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Streptococcus virus Sfi11,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Lactococcus virus CB13,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus Sl4,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus 712,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus ASCC191,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus Bibb29,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus P008,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus CB14,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus bIL170,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lactococcus virus jj50,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Lactococcus virus sk1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Bacillus virus IEBH,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia virus N15,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella virus 118970sal2,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella virus Stitch,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus EPS7,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Escherichia virus slur09,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus AKFV33,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Salmonella virus SPC35,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Escherichia virus T5,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Vibrio phage phi 3,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Vibrio phage pVp-1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Enterococcus virus FL3,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterococcus virus FL1,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Salmonella virus SE2,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Salmonella virus LSPA1,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Salmonella virus SP31,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Escherichia virus K1H,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus K1G,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus PMG1,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Gordonia virus Demosthenes,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Gordonia virus Kvothe,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Tsukamurella virus TIN2,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Tsukamurella virus TIN3,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Xanthomonas virus phil7,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Xanthomonas virus CP1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus virus Finn,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus virus Riggi,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Escherichia virus JenK1,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus JenP1,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia virus JenP2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia virus KL1,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus Ab26,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus 73,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus Kakheti25,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Salmonella virus iEPS5,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus PAE1,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus MP1412,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus Yua,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus M6,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Lactobacillus virus Ld25A,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Lactobacillus virus Ld17,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Lactobacillus virus LLKu,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Bacillus virus TP21,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus MP38,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus LPB1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus DMS3,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Rhodococcus virus RER2,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Sodalis virus SO1,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus NP1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Gordonia virus Woes,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Pseudomonas virus Ab18,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Pseudomonas virus PaMx11,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium virus Predator,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Pediococcus virus cIP1,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Lactobacillus virus phiJL1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium virus JAMaL,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycobacterium virus Bane1,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Caulobacter virus Rogue,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Gordonia virus GordTnk2,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed
Rhodobacter virus RcCronus,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Streptomyces virus phiHau3,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Vibrio virus MAR10,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Escherichia phage phAPEC8,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Enterococcus phage EFDG1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Rarely Observed
Enterobacteria phage phi92,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Enterobacteria phage phiP27,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Bacillus phage 0305phi8-36,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Streptococcus phage EJ-1,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
